DATE,RRSFS
2006-01-01,179293
2006-02-01,177887
2006-03-01,178100
2006-04-01,178088
2006-05-01,177200
2006-06-01,177343
2006-07-01,176937
2006-08-01,176983
2006-09-01,177002
2006-10-01,177544
2006-11-01,177854
2006-12-01,179089
2007-01-01,178736
2007-02-01,178237
2007-03-01,178850
2007-04-01,177844
2007-05-01,179408
2007-06-01,177651
2007-07-01,178039
2007-08-01,178824
2007-09-01,178794
2007-10-01,179401
2007-11-01,179696
2007-12-01,177019
2008-01-01,176853
2008-02-01,174826
2008-03-01,174630
2008-04-01,174146
2008-05-01,174731
2008-06-01,173112
2008-07-01,171238
2008-08-01,170234
2008-09-01,167550
2008-10-01,162654
2008-11-01,159205
2008-12-01,157093
2009-01-01,158979
2009-02-01,157766
2009-03-01,155179
2009-04-01,155777
2009-05-01,156911
2009-06-01,158240
2009-07-01,158582
2009-08-01,160908
2009-09-01,156817
2009-10-01,157801
2009-11-01,158527
2009-12-01,159226
2010-01-01,159176
2010-02-01,159603
2010-03-01,163148
2010-04-01,164335
2010-05-01,162923
2010-06-01,163043
2010-07-01,162946
2010-08-01,163703
2010-09-01,164608
2010-10-01,165965
2010-11-01,167287
2010-12-01,167481
2011-01-01,168092
2011-02-01,169022
2011-03-01,169683
2011-04-01,169917
2011-05-01,169160
2011-06-01,170457
2011-07-01,169831
2011-08-01,169808
2011-09-01,171101
2011-10-01,171961
2011-11-01,172378
2011-12-01,172446
2012-01-01,173531
2012-02-01,175286
2012-03-01,175608
2012-04-01,174493
2012-05-01,174613
2012-06-01,173347
2012-07-01,173874
2012-08-01,174911
2012-09-01,175472
2012-10-01,175241
2012-11-01,176252
2012-12-01,176798
2013-01-01,177935
2013-02-01,179126
2013-03-01,178325
2013-04-01,177857
2013-05-01,178590
2013-06-01,178813
2013-07-01,179673
2013-08-01,178855
2013-09-01,178733
2013-10-01,179432
2013-11-01,179648
2013-12-01,180167
2014-01-01,177877
2014-02-01,180293
2014-03-01,181815
2014-04-01,183385
2014-05-01,183334
2014-06-01,183547
2014-07-01,183638
2014-08-01,185147
2014-09-01,184737
2014-10-01,185271
2014-11-01,186206
2014-12-01,185734
2015-01-01,185779
2015-02-01,184982
2015-03-01,187256
2015-04-01,187366
2015-05-01,188272
2015-06-01,188043
2015-07-01,188951
2015-08-01,189039
2015-09-01,188944
2015-10-01,188235
2015-11-01,188744
2015-12-01,189677
2016-01-01,188509
2016-02-01,190538
2016-03-01,189559
2016-04-01,189685
2016-05-01,189894
2016-06-01,191172
2016-07-01,190986
2016-08-01,190786
2016-09-01,191603
2016-10-01,191706
2016-11-01,191325
2016-12-01,192852
2017-01-01,194419
2017-02-01,194069
2017-03-01,193948
2017-04-01,194763
2017-05-01,194010
2017-06-01,194447
2017-07-01,194429
2017-08-01,193903
2017-09-01,197227
2017-10-01,197362
2017-11-01,198375
2017-12-01,198911
2018-01-01,197978
2018-02-01,198343
2018-03-01,198365
2018-04-01,198421
2018-05-01,200427
2018-06-01,199515
2018-07-01,200346
2018-08-01,199629
2018-09-01,199162
2018-10-01,200982
2018-11-01,201246
2018-12-01,196927
2019-01-01,199975
2019-02-01,199338
2019-03-01,201736
2019-04-01,202040
2019-05-01,202599
2019-06-01,203289
2019-07-01,203914
2019-08-01,204666
2019-09-01,203537
2019-10-01,204041
2019-11-01,203633
2019-12-01,203319
2020-01-01,204627
2020-02-01,203541
2020-03-01,187611
2020-04-01,161224
2020-05-01,189838
