,DATE,UNRATE
0,2006-01-01,4.7
1,2006-02-01,4.8
2,2006-03-01,4.7
3,2006-04-01,4.7
4,2006-05-01,4.6
5,2006-06-01,4.6
6,2006-07-01,4.7
7,2006-08-01,4.7
8,2006-09-01,4.5
9,2006-10-01,4.4
10,2006-11-01,4.5
11,2006-12-01,4.4
12,2007-01-01,4.6
13,2007-02-01,4.5
14,2007-03-01,4.4
15,2007-04-01,4.5
16,2007-05-01,4.4
17,2007-06-01,4.6
18,2007-07-01,4.7
19,2007-08-01,4.6
20,2007-09-01,4.7
21,2007-10-01,4.7
22,2007-11-01,4.7
23,2007-12-01,5.0
24,2008-01-01,5.0
25,2008-02-01,4.9
26,2008-03-01,5.1
27,2008-04-01,5.0
28,2008-05-01,5.4
29,2008-06-01,5.6
30,2008-07-01,5.8
31,2008-08-01,6.1
32,2008-09-01,6.1
33,2008-10-01,6.5
34,2008-11-01,6.8
35,2008-12-01,7.3
36,2009-01-01,7.8
37,2009-02-01,8.3
38,2009-03-01,8.7
39,2009-04-01,9.0
40,2009-05-01,9.4
41,2009-06-01,9.5
42,2009-07-01,9.5
43,2009-08-01,9.6
44,2009-09-01,9.8
45,2009-10-01,10.0
46,2009-11-01,9.9
47,2009-12-01,9.9
48,2010-01-01,9.8
49,2010-02-01,9.8
50,2010-03-01,9.9
51,2010-04-01,9.9
52,2010-05-01,9.6
53,2010-06-01,9.4
54,2010-07-01,9.4
55,2010-08-01,9.5
56,2010-09-01,9.5
57,2010-10-01,9.4
58,2010-11-01,9.8
59,2010-12-01,9.3
60,2011-01-01,9.1
61,2011-02-01,9.0
62,2011-03-01,9.0
63,2011-04-01,9.1
64,2011-05-01,9.0
65,2011-06-01,9.1
66,2011-07-01,9.0
67,2011-08-01,9.0
68,2011-09-01,9.0
69,2011-10-01,8.8
70,2011-11-01,8.6
71,2011-12-01,8.5
72,2012-01-01,8.3
73,2012-02-01,8.3
74,2012-03-01,8.2
75,2012-04-01,8.2
76,2012-05-01,8.2
77,2012-06-01,8.2
78,2012-07-01,8.2
79,2012-08-01,8.1
80,2012-09-01,7.8
81,2012-10-01,7.8
82,2012-11-01,7.7
83,2012-12-01,7.9
84,2013-01-01,8.0
85,2013-02-01,7.7
86,2013-03-01,7.5
87,2013-04-01,7.6
88,2013-05-01,7.5
89,2013-06-01,7.5
90,2013-07-01,7.3
91,2013-08-01,7.2
92,2013-09-01,7.2
93,2013-10-01,7.2
94,2013-11-01,6.9
95,2013-12-01,6.7
96,2014-01-01,6.6
97,2014-02-01,6.7
98,2014-03-01,6.7
99,2014-04-01,6.2
100,2014-05-01,6.3
101,2014-06-01,6.1
102,2014-07-01,6.2
103,2014-08-01,6.1
104,2014-09-01,5.9
105,2014-10-01,5.7
106,2014-11-01,5.8
107,2014-12-01,5.6
108,2015-01-01,5.7
109,2015-02-01,5.5
110,2015-03-01,5.4
111,2015-04-01,5.4
112,2015-05-01,5.6
113,2015-06-01,5.3
114,2015-07-01,5.2
115,2015-08-01,5.1
116,2015-09-01,5.0
117,2015-10-01,5.0
118,2015-11-01,5.1
119,2015-12-01,5.0
120,2016-01-01,4.9
0,2016-06-01,4.9
1,2016-07-01,4.8
2,2016-08-01,4.9
3,2016-09-01,5.0
4,2016-10-01,4.9
5,2016-11-01,4.7
6,2016-12-01,4.7
7,2017-01-01,4.7
8,2017-02-01,4.6
9,2017-03-01,4.4
10,2017-04-01,4.4
11,2017-05-01,4.4
12,2017-06-01,4.3
13,2017-07-01,4.3
14,2017-08-01,4.4
15,2017-09-01,4.2
16,2017-10-01,4.1
17,2017-11-01,4.2
18,2017-12-01,4.1
19,2018-01-01,4.1
20,2018-02-01,4.1
21,2018-03-01,4.0
22,2018-04-01,4.0
23,2018-05-01,3.8
24,2018-06-01,4.0
25,2018-07-01,3.8
26,2018-08-01,3.8
27,2018-09-01,3.7
28,2018-10-01,3.8
29,2018-11-01,3.7
30,2018-12-01,3.9
31,2019-01-01,4.0
32,2019-02-01,3.8
33,2019-03-01,3.8
34,2019-04-01,3.6
35,2019-05-01,3.6
36,2019-06-01,3.7
37,2019-07-01,3.7
38,2019-08-01,3.7
39,2019-09-01,3.5
40,2019-10-01,3.6
41,2019-11-01,3.5
42,2019-12-01,3.5
43,2020-01-01,3.6
44,2020-02-01,3.5
45,2020-03-01,4.4
46,2020-04-01,14.7
47,2020-05-01,13.3
