DATE,DGS1MO,DGS3MO,DGS1,DGS2,DGS5,DGS10,Inverted
1/3/06,4.05,4.16,4.38,4.34,4.3,4.37,0
1/4/06,4.03,4.19,4.35,4.31,4.28,4.36,0
1/5/06,4.05,4.2,4.36,4.32,4.29,4.36,0
1/6/06,4.06,4.22,4.38,4.36,4.32,4.38,0
1/9/06,4.09,4.23,4.39,4.36,4.32,4.38,0
1/10/06,4.15,4.29,4.42,4.41,4.36,4.43,0
1/11/06,4.16,4.3,4.44,4.44,4.39,4.46,0
1/12/06,4.16,4.32,4.42,4.39,4.35,4.42,0
1/13/06,4.13,4.33,4.4,4.34,4.28,4.36,0
1/16/06,.,.,.,.,.,.,0
1/17/06,4.11,4.38,4.42,4.33,4.27,4.34,0
1/18/06,4.04,4.35,4.42,4.33,4.28,4.34,0
1/19/06,3.98,4.35,4.43,4.37,4.31,4.38,0
1/20/06,3.95,4.35,4.44,4.37,4.31,4.37,0
1/23/06,3.98,4.38,4.45,4.35,4.3,4.36,0
1/24/06,4.24,4.4,4.46,4.37,4.32,4.4,0
1/25/06,4.22,4.42,4.51,4.46,4.41,4.49,0
1/26/06,4.17,4.45,4.52,4.49,4.44,4.53,0
1/27/06,4.19,4.45,4.54,4.51,4.45,4.52,0
1/30/06,4.18,4.48,4.59,4.52,4.46,4.54,0
1/31/06,4.37,4.47,4.58,4.54,4.47,4.53,0
2/1/06,4.33,4.47,4.6,4.59,4.51,4.57,0
2/2/06,4.32,4.48,4.61,4.59,4.51,4.57,0
2/3/06,4.31,4.48,4.62,4.59,4.5,4.54,0
2/6/06,4.32,4.48,4.66,4.62,4.51,4.55,0
2/7/06,4.33,4.49,4.65,4.61,4.52,4.57,0
2/8/06,4.34,4.5,4.66,4.64,4.55,4.56,0
2/9/06,4.32,4.52,4.66,4.66,4.55,4.54,0
2/10/06,4.36,4.53,4.7,4.69,4.59,4.59,0
2/13/06,4.38,4.55,4.7,4.68,4.58,4.58,0
2/14/06,4.42,4.55,4.71,4.69,4.61,4.62,0
2/15/06,4.39,4.55,4.7,4.71,4.6,4.61,0
2/16/06,4.38,4.55,4.69,4.69,4.59,4.59,0
2/17/06,4.39,4.54,4.68,4.66,4.55,4.54,0
2/20/06,.,.,.,.,.,.,0
2/21/06,4.42,4.56,4.73,4.71,4.59,4.57,0
2/22/06,4.44,4.57,4.69,4.68,4.57,4.53,0
2/23/06,4.44,4.59,4.73,4.72,4.63,4.56,0
2/24/06,4.45,4.6,4.73,4.74,4.64,4.58,0
2/27/06,4.48,4.62,4.76,4.74,4.66,4.59,0
2/28/06,4.47,4.62,4.73,4.69,4.61,4.55,0
3/1/06,4.45,4.6,4.74,4.71,4.63,4.59,0
3/2/06,4.45,4.62,4.74,4.72,4.68,4.64,0
3/3/06,4.45,4.62,4.75,4.76,4.71,4.68,0
3/6/06,4.44,4.6,4.77,4.77,4.76,4.74,0
3/7/06,4.47,4.6,4.77,4.77,4.76,4.74,0
3/8/06,4.45,4.58,4.76,4.72,4.75,4.73,0
3/9/06,4.44,4.6,4.76,4.72,4.75,4.74,0
3/10/06,4.46,4.62,4.77,4.74,4.77,4.76,0
3/13/06,4.45,4.61,4.8,4.74,4.78,4.77,0
3/14/06,4.49,4.59,4.75,4.66,4.68,4.71,0
3/15/06,4.5,4.63,4.77,4.69,4.69,4.73,0
3/16/06,4.49,4.62,4.72,4.62,4.6,4.65,0
3/17/06,4.5,4.64,4.74,4.65,4.62,4.68,0
3/20/06,4.56,4.66,4.74,4.65,4.61,4.66,0
3/21/06,4.67,4.69,4.79,4.72,4.68,4.71,0
3/22/06,4.67,4.69,4.78,4.74,4.69,4.7,0
3/23/06,4.66,4.67,4.8,4.77,4.73,4.73,0
3/24/06,4.66,4.65,4.76,4.72,4.66,4.67,0
3/27/06,4.66,4.63,4.77,4.72,4.69,4.7,0
3/28/06,4.71,4.65,4.82,4.81,4.79,4.79,0
3/29/06,4.69,4.63,4.83,4.82,4.79,4.81,0
3/30/06,4.67,4.61,4.84,4.84,4.83,4.86,0
3/31/06,4.65,4.63,4.82,4.82,4.82,4.86,0
4/3/06,4.66,4.67,4.86,4.86,4.85,4.88,0
4/4/06,4.64,4.68,4.85,4.84,4.82,4.87,0
4/5/06,4.62,4.67,4.82,4.81,4.79,4.84,0
4/6/06,4.65,4.68,4.85,4.84,4.84,4.9,0
4/7/06,4.64,4.69,4.86,4.89,4.89,4.97,0
4/10/06,4.64,4.69,4.89,4.89,4.89,4.97,0
4/11/06,4.63,4.7,4.88,4.88,4.86,4.93,0
4/12/06,4.62,4.7,4.91,4.91,4.91,4.98,0
4/13/06,4.54,4.7,4.95,4.96,4.97,5.05,0
4/14/06,.,.,.,.,.,.,0
4/17/06,4.55,4.72,4.93,4.91,4.93,5.01,0
4/18/06,4.54,4.72,4.88,4.84,4.87,4.99,0
4/19/06,4.54,4.73,4.89,4.86,4.91,5.04,0
4/20/06,4.55,4.73,4.9,4.89,4.92,5.04,0
4/21/06,4.58,4.75,4.9,4.9,4.92,5.01,0
4/24/06,4.58,4.75,4.92,4.89,4.9,4.99,0
4/25/06,4.63,4.79,4.95,4.95,4.98,5.07,0
4/26/06,4.65,4.79,4.98,4.99,5.02,5.12,0
4/27/06,4.64,4.78,4.93,4.91,4.95,5.09,0
4/28/06,4.6,4.77,4.9,4.87,4.92,5.07,0
5/1/06,4.61,4.82,4.97,4.94,4.99,5.14,0
5/2/06,4.66,4.81,4.96,4.92,4.98,5.12,0
5/3/06,4.65,4.82,4.98,4.94,5.01,5.15,0
5/4/06,4.61,4.8,5,4.97,5.03,5.16,0
5/5/06,4.61,4.83,4.98,4.94,4.99,5.12,0
5/8/06,4.64,4.87,5.01,4.97,5.01,5.12,0
5/9/06,4.72,4.88,5.01,4.97,5.01,5.13,0
5/10/06,4.69,4.88,5.02,5.01,5.03,5.13,0
5/11/06,4.64,4.82,4.99,4.99,5.04,5.14,0
5/12/06,4.64,4.85,5,5.01,5.08,5.19,0
5/15/06,4.68,4.86,5.01,4.99,5.04,5.15,0
5/16/06,4.76,4.83,4.98,4.96,4.99,5.1,0
5/17/06,4.75,4.83,4.99,4.97,5.03,5.16,0
5/18/06,4.75,4.83,4.96,4.94,4.96,5.08,0
5/19/06,4.75,4.82,4.98,4.96,4.96,5.05,0
5/22/06,4.74,4.83,4.99,4.94,4.94,5.04,0
5/23/06,4.75,4.84,5,4.97,4.98,5.07,0
5/24/06,4.74,4.82,4.97,4.94,4.93,5.03,0
5/25/06,4.74,4.82,5,4.98,4.97,5.07,0
5/26/06,4.75,4.84,5,4.96,4.95,5.06,0
5/29/06,.,.,.,.,.,.,0
5/30/06,4.76,4.84,5.02,4.99,4.99,5.09,0
